station_id,variant,entry_ts,exit_ts,source_run
S12,MODEL_A,1970-01-01T07:04:22.185000+00:00,1970-01-01T07:13:09.813000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:06:06.570000+00:00,1970-01-01T07:14:00.027000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:06:58.040000+00:00,1970-01-01T07:15:02.855000+00:00,run_0002
S12,MODEL_B,1970-01-01T07:07:57.373000+00:00,1970-01-01T07:16:16.363000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:08:48.938000+00:00,1970-01-01T07:16:52.328000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:09:48.201000+00:00,1970-01-01T07:18:03.137000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:10:42.096000+00:00,1970-01-01T07:19:06.718000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:11:27.122000+00:00,1970-01-01T07:20:13.073000+00:00,run_0002
S12,MODEL_B,1970-01-01T07:12:32.089000+00:00,1970-01-01T07:21:27.625000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:13:24.152000+00:00,1970-01-01T07:22:17.929000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:14:31.822000+00:00,1970-01-01T07:23:07.524000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:15:23.077000+00:00,1970-01-01T07:24:17.042000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:16:32.992000+00:00,1970-01-01T07:25:04.207000+00:00,run_0002
S12,MODEL_B,1970-01-01T07:17:35.406000+00:00,1970-01-01T07:26:21.091000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:18:39.967000+00:00,1970-01-01T07:27:03.941000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:19:44.137000+00:00,1970-01-01T07:28:01.270000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:20:40.405000+00:00,1970-01-01T07:28:48.722000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:21:41.889000+00:00,1970-01-01T07:29:51.677000+00:00,run_0002
S12,MODEL_B,1970-01-01T07:22:32.873000+00:00,1970-01-01T07:30:45.510000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:23:38.945000+00:00,1970-01-01T07:31:52.167000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:24:35.917000+00:00,1970-01-01T07:33:02.046000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:25:19.673000+00:00,1970-01-01T07:34:14.535000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:26:06.220000+00:00,1970-01-01T07:34:57.503000+00:00,run_0002
S12,MODEL_B,1970-01-01T07:27:18.167000+00:00,1970-01-01T07:36:25.707000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:28:20.836000+00:00,1970-01-01T07:37:40.649000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:29:16.099000+00:00,1970-01-01T07:38:39.484000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:30:13.035000+00:00,1970-01-01T07:39:59.796000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:31:25.517000+00:00,1970-01-01T07:41:00.117000+00:00,run_0002
S12,MODEL_B,1970-01-01T07:32:36.095000+00:00,1970-01-01T07:42:07.099000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:33:35.332000+00:00,1970-01-01T07:43:03.814000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:34:50.914000+00:00,1970-01-01T07:43:54.024000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:36:07.354000+00:00,1970-01-01T07:44:36.698000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:37:07.871000+00:00,1970-01-01T07:45:36.537000+00:00,run_0002
S12,MODEL_B,1970-01-01T07:38:25.157000+00:00,1970-01-01T07:46:26.438000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:39:10.556000+00:00,1970-01-01T07:47:20.684000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:40:37.507000+00:00,1970-01-01T07:48:03.085000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:41:27.124000+00:00,1970-01-01T07:49:19.744000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:42:16.283000+00:00,1970-01-01T07:50:23.075000+00:00,run_0002
S12,MODEL_B,1970-01-01T07:43:02.692000+00:00,1970-01-01T07:51:37+00:00,run_0002
S12,MODEL_A,1970-01-01T07:44:01.623000+00:00,1970-01-01T07:53:18.256000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:44:55.181000+00:00,1970-01-01T07:54:06.761000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:45:47.844000+00:00,1970-01-01T07:55:07.020000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:46:40.826000+00:00,1970-01-01T07:56:20.831000+00:00,run_0002
S12,MODEL_B,1970-01-01T07:47:45.588000+00:00,1970-01-01T07:57:28.306000+00:00,run_0002
S12,MODEL_A,1970-01-01T07:48:47.045000+00:00,1970-01-01T07:58:39.623000+00:00,run_0002
S12,MODEL_A,1970-01-01T00:07:51.613000+00:00,1970-01-01T00:11:03.894000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:08:30.117000+00:00,1970-01-01T00:12:04.343000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:09:25.102000+00:00,1970-01-01T00:13:01.497000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:10:37.749000+00:00,1970-01-01T00:13:46.510000+00:00,run_0003
S12,MODEL_B,1970-01-01T00:11:25.396000+00:00,1970-01-01T00:14:45.592000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:12:16.070000+00:00,1970-01-01T00:15:52.309000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:13:11.721000+00:00,1970-01-01T00:16:38.956000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:13:59.324000+00:00,1970-01-01T00:17:47.913000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:14:59.111000+00:00,1970-01-01T00:19:23.610000+00:00,run_0003
S12,MODEL_B,1970-01-01T00:16:05.265000+00:00,1970-01-01T00:20:19.690000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:16:47.737000+00:00,1970-01-01T00:21:24.811000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:17:51.034000+00:00,1970-01-01T00:22:46.463000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:18:59.893000+00:00,1970-01-01T00:23:56.034000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:20:11.394000+00:00,1970-01-01T00:24:49.915000+00:00,run_0003
S12,MODEL_B,1970-01-01T00:21:16.527000+00:00,1970-01-01T00:26:02.476000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:22:04.187000+00:00,1970-01-01T00:26:51.702000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:23:00.885000+00:00,1970-01-01T00:28:03.013000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:24:05.355000+00:00,1970-01-01T00:29:21.701000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:25:02.171000+00:00,1970-01-01T00:30:03.703000+00:00,run_0003
S12,MODEL_B,1970-01-01T00:26:30.292000+00:00,1970-01-01T00:30:48.646000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:27:09.831000+00:00,1970-01-01T00:31:39.764000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:28:33.931000+00:00,1970-01-01T00:32:34.898000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:29:23.652000+00:00,1970-01-01T00:33:24.182000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:30:14.461000+00:00,1970-01-01T00:34:21.743000+00:00,run_0003
S12,MODEL_B,1970-01-01T00:31:21.070000+00:00,1970-01-01T00:36:05.857000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:32:04.242000+00:00,1970-01-01T00:36:49.417000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:33:40.085000+00:00,1970-01-01T00:37:44.101000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:34:27.885000+00:00,1970-01-01T00:38:41.825000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:35:24.572000+00:00,1970-01-01T00:39:36.345000+00:00,run_0003
S12,MODEL_B,1970-01-01T00:36:10.260000+00:00,1970-01-01T00:40:51.458000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:37:13.174000+00:00,1970-01-01T00:41:47.281000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:38:42.806000+00:00,1970-01-01T00:43:04.392000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:39:32.427000+00:00,1970-01-01T00:44:02.213000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:40:31.940000+00:00,1970-01-01T00:45:07.806000+00:00,run_0003
S12,MODEL_B,1970-01-01T00:41:31.911000+00:00,1970-01-01T00:46:22.620000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:42:38.961000+00:00,1970-01-01T00:47:38.912000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:43:38.824000+00:00,1970-01-01T00:48:24.092000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:44:22.330000+00:00,1970-01-01T00:49:26.778000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:45:18.880000+00:00,1970-01-01T00:50:41.100000+00:00,run_0003
S12,MODEL_B,1970-01-01T00:46:12.202000+00:00,1970-01-01T00:51:33.166000+00:00,run_0003
S12,MODEL_A,1970-01-01T00:47:06.681000+00:00,1970-01-01T00:52:42.685000+00:00,run_0003
